number,name,red,green,blue,hex,similar
Ecru,Ecru/off-white,240.0,234.0,218.0,f0eada,"['3774', '772', '822', '3024', '543', '948', '677', '3072', '3770', '762']"
Blanc,White,255.0,255.0,255.0,#FFFFFF,"['B5200', 'White', '712', '3865', '3756', '746', '3866', '27', '819', '747']"
White,White,252.0,251.0,248.0,fcfbf8,"['B5200', '3865', '712', '3866', '746', '3756', '819', '3823', '747', '3770']"
B5200,Snow White,255.0,255.0,255.0,ffffff,"['White', '712', '3865', '746', '3756', '3866', '819', '747', '3823', '3770']"
1,White Tin,227.0,227.0,230.0,#E3E3E6,"['3072', '928', '3753', '3024', '23', '762', '24', '775', 'Ecru', '162']"
2,Tin,215.0,215.0,216.0,#D7D7D8,"['415', '168', '3743', '644', '453', '3033', '3752', '928', '25', '153']"
3,Tin - Medium,184.0,184.0,187.0,#B8B8BB,"['648', '452', '4', '340', '318', '932', '927', '524', '210', '3813']"
4,Tin - Dark,174.0,174.0,177.0,#AEAEB1,"['318', '648', '3', '452', '3042', '926', '647', '340', '932', '523']"
5,Driftwood - Light,227.0,204.0,190.0,#E3CCBE,"['6', '3047', '950', '453', '3033', '644', '754', '613', '3779', '3743']"
6,Driftwood - Medium Light,220.0,198.0,184.0,#DCC6B8,"['5', '613', '778', '453', '3047', '3782', '224', '950', '3348', '644']"
7,Driftwood,143.0,123.0,110.0,#8F7B6E,"['451', '646', '640', '3041', '840', '3022', '3052', '611', '169', '3011']"
8,Driftwood - Dark,106.0,80.0,70.0,#6A5046,"['3781', '839', '779', '3802', '3787', '610', '838', '3051', '413', '315']"
9,Cocoa - Very Dark,85.0,32.0,20.0,#552014,"['898', '3857', '801', '154', '938', '300', '3031', '35', '934', '814']"
10,Tender Green - Very Light,237.0,254.0,217.0,#EDFED9,"['Ecru', '3078', '3823', '772', '677', '3024', '746', '3770', '762', '3072']"
11,Tender Green - Light,226.0,237.0,181.0,#E2EDB5,"['165', '14', '15', '369', '3047', '677', '727', '3348', '745', '739']"
12,Tender Green,205.0,217.0,154.0,#CDD99A,"['472', '15', '3348', '524', '676', '613', '164', '3046', '3782', '842']"
13,Nile Green - Medium Light,191.0,246.0,224.0,#BFF6E0,"['828', '3811', '827', '3841', '964', '504', '369', '775', '3753', '3761']"
14,Apple Green - Pale,208.0,251.0,178.0,#D0FBB2,"['15', '11', '369', '3348', '165', '472', '164', '504', '12', '772']"
15,Apple Green,209.0,237.0,164.0,#D1EDA4,"['472', '14', '12', '11', '3348', '164', '165', '524', '676', '369']"
16,Chartreuse - Light,201.0,194.0,88.0,#C9C258,"['733', '3820', '166', '833', '734', '18', '728', '907', '371', '729']"
17,Yellow Plum - Light,229.0,226.0,114.0,#E5E272,"['3819', '18', '3821', '743', '907', '19', '726', '834', '307', '472']"
18,Yellow Plum,217.0,213.0,109.0,#D9D56D,"['17', '3819', '907', '3821', '834', '734', '16', '3820', '728', '19']"
19,Autumn Gold - Medium Light,247.0,201.0,95.0,#F7C95F,"['742', '726', '3821', '743', '3827', '3854', '728', '3820', '725', '18']"
20,Shrimp,247.0,175.0,147.0,#F7AF93,"['3341', '758', '3825', '352', '437', '3771', '760', '152', '402', '3688']"
21,Alizarian - Light,215.0,153.0,130.0,#D79982,"['3778', '422', '962', '223', '152', '3064', '612', '3712', '372', '833']"
22,Alizarian,188.0,96.0,78.0,#BC604E,"['3830', '356', '3773', '435', '3722', '3772', '3826', '3721', '420', '167']"
23,Apple Blossom,237.0,226.0,237.0,#EDE2ED,"['762', '3024', '3072', '1', '24', '27', '3753', '928', 'Ecru', '3713']"
24,White Lavender,224.0,215.0,238.0,#E0D7EE,"['25', '3747', '3753', '1', '928', '211', '23', '26', '3072', '3841']"
25,Lavender - Ultra Light,218.0,210.0,233.0,#DAD2E9,"['26', '24', '3747', '211', '3753', '2', '928', '3841', '1', '415']"
26,Lavender - Pale,215.0,202.0,230.0,#D7CAE6,"['25', '211', '3747', '24', '415', '3743', '2', '153', '3752', '159']"
